"env";"gid";"value"
"2337";"2_PI_LN";"L005xL014C";2.90085859700346
"2338";"2_PI_LN";"L005xL015";3.09420535751462
"2339";"2_PI_LN";"L005xL017";6.82840942820768
"2340";"2_PI_LN";"L005xL024";6.51032040382104
"2341";"2_PI_LN";"L005xL035";3.27388342532952
"2342";"2_PI_LN";"L005xL038";3.78051502064429
"2343";"2_PI_LN";"L005xL039";3.19911976658312
"2344";"2_PI_LN";"L005xL041";2.17571337282426
"2345";"2_PI_LN";"L005xL044";4.3684734216404
"2346";"2_PI_LN";"L005xL045";3.85100332244413
"2347";"2_PI_LN";"L005xL046";4.30324203688974
"2348";"2_PI_LN";"L005xL047";2.47534087533909
"2349";"2_PI_LN";"L005xL048";3.6502482253086
"2350";"2_PI_LN";"L005xL055";2.86516941355867
"2351";"2_PI_LN";"L005xL056";4.42985450416206
"2352";"2_PI_LN";"L006xL007";4.95890439350423
"2353";"2_PI_LN";"L006xL007B";5.50215845979711
"2354";"2_PI_LN";"L006xL011";4.82037151021283
"2355";"2_PI_LN";"L006xL013";3.9047821246404
"2356";"2_PI_LN";"L006xL014C";3.76579309915857
"2357";"2_PI_LN";"L006xL015";3.78593288282104
"2358";"2_PI_LN";"L006xL016";4.80513959913793
"2359";"2_PI_LN";"L006xL018";4.74518353950423
"2360";"2_PI_LN";"L006xL022";5.16418433844912
"2361";"2_PI_LN";"L006xL023";4.70100575595247
"2362";"2_PI_LN";"L006xL025";3.87939983879711
"2363";"2_PI_LN";"L006xL026";3.67176397744912
"2364";"2_PI_LN";"L006xL029";5.98057171255867
"2365";"2_PI_LN";"L006xL031";4.98260019637247
"2366";"2_PI_LN";"L006xL033";3.30206971027388
"2367";"2_PI_LN";"L006xL034";4.23667416715552
"2368";"2_PI_LN";"L006xL037";3.15847519416206
"2369";"2_PI_LN";"L006xL038";3.32521248088974
"2370";"2_PI_LN";"L006xL039";3.29004034115552
"2371";"2_PI_LN";"L006xL041";4.54403615113793
"2372";"2_PI_LN";"L006xL042";3.06086867644413
"2373";"2_PI_LN";"L006xL049";2.97632589219497
"2374";"2_PI_LN";"L006xL054";2.82500820615857
"2375";"2_PI_LN";"L006xL058";4.07788791237454
"2376";"2_PI_LN";"L007xL008";2.64363418884565
"2377";"2_PI_LN";"L007xL010";3.81452098376047
"2378";"2_PI_LN";"L007xL011";5.80928349264429
"2379";"2_PI_LN";"L007xL012";4.77450613973919
"2380";"2_PI_LN";"L007xL014B";3.19125597000346
